"Title","Description","BiocVersion","Genome","SourceType","SourceUrl","SourceVersion","Species","TaxonomyId","Coordinate_1_based","DataProvider","Maintainer","RDataClass","DispatchClass","RDataPath"
"bedgraph_chrx_2e6_5e6.bg.bgz","Example of bedgraph format","3.14","dm3","BED","https://github.com/deeptools/pyGenomeTracks","Nov 12 2020","Drosophila melanogaster",7227,NA,"pyGenomeTracks ","Omar Elashkar <omar.i.elashkar@gmail.com>","String","FilePath","rGenomeTracksData/version1.0/bedgraph_chrx_2e6_5e6.bg.bgz"
"bigwig2_X_2.5e6_3.5e6.bw","Example of bigwig file","3.14","dm3","BigWig","https://github.com/deeptools/pyGenomeTracks","Nov 12 2020","Drosophila melanogaster",7227,NA,"pyGenomeTracks ","Omar Elashkar <omar.i.elashkar@gmail.com>","String","FilePath","rGenomeTracksData/version1.0/bigwig2_X_2.5e6_3.5e6.bw"
"chromatinStates_kc.bed.gz","Example of chromatinstates annotataion in bed file","3.14","dm3","BED","https://github.com/deeptools/pyGenomeTracks","Nov 12 2020","Drosophila melanogaster",7227,NA,"pyGenomeTracks ","Omar Elashkar <omar.i.elashkar@gmail.com>","String","FilePath","rGenomeTracksData/version1.0/chromatinStates_kc.bed.gz"
"dm3_genes.bed.gz","Example of bed12 file","3.14","dm3","BED","https://github.com/deeptools/pyGenomeTracks","Nov 12 2020","Drosophila melanogaster",7227,NA,"pyGenomeTracks ","Omar Elashkar <omar.i.elashkar@gmail.com>","String","FilePath","rGenomeTracksData/version1.0/dm3_genes.bed.gz"
"dm3_genes.bed4.gz","Example of bed4 file","3.14","dm3","BED","https://github.com/deeptools/pyGenomeTracks","Nov 12 2020","Drosophila melanogaster",7227,NA,"pyGenomeTracks ","Omar Elashkar <omar.i.elashkar@gmail.com>","String","FilePath","rGenomeTracksData/version1.0/dm3_genes.bed4.gz"
"dm3_genes.bed6.gz","Example of bed6 file","3.14","dm3","GTF","https://github.com/deeptools/pyGenomeTracks","Nov 12 2020","Drosophila melanogaster",7227,NA,"pyGenomeTracks ","Omar Elashkar <omar.i.elashkar@gmail.com>","String","FilePath","rGenomeTracksData/version1.0/dm3_genes.bed6.gz"
"dm3_subset_BDGP5.78.gtf.gz","Example of gtf file","3.14","dm3","BED","https://github.com/deeptools/pyGenomeTracks","Nov 12 2020","Drosophila melanogaster",7227,NA,"pyGenomeTracks ","Omar Elashkar <omar.i.elashkar@gmail.com>","String","FilePath","rGenomeTracksData/version1.0/dm3_subset_BDGP5.78.gtf.gz"
"epilog.qcat.bgz","Example of chromatin states epilogo in qcat file","3.14","dm3","BED","https://github.com/deeptools/pyGenomeTracks","Nov 12 2020","Drosophila melanogaster",7227,NA,"pyGenomeTracks ","Omar Elashkar <omar.i.elashkar@gmail.com>","String","FilePath","rGenomeTracksData/version1.0/epilog.qcat.bgz"
"GSM3182416_E12DHL_WT_Hoxd11vp.bedgraph.gz","Example of 4C-seq bedgraph file for mm10","3.14","mm10","BED","https://github.com/deeptools/pyGenomeTracks","Nov 12 2020","Mus musculus",10090,NA,"pyGenomeTracks ","Omar Elashkar <omar.i.elashkar@gmail.com>","String","FilePath","rGenomeTracksData/version1.0/GSM3182416_E12DHL_WT_Hoxd11vp.bedgraph.gz"
"HoxD_cluster_regulatory_regions_mm10.bed","Example of bed file for mm10 from 4C-seq","3.14","mm10","BED","https://github.com/deeptools/pyGenomeTracks","Nov 12 2020","Mus musculus",10090,NA,"pyGenomeTracks ","Omar Elashkar <omar.i.elashkar@gmail.com>","String","FilePath","rGenomeTracksData/version1.0/HoxD_cluster_regulatory_regions_mm10.bed"
"Li_et_al_2015.cool","Example of HiC matrix in sparse cool format","3.14","dm3","HDF5","https://github.com/deeptools/pyGenomeTracks","Nov 12 2020","Drosophila melanogaster",7227,NA,"pyGenomeTracks ","Omar Elashkar <omar.i.elashkar@gmail.com>","String","FilePath","rGenomeTracksData/version1.0/Li_et_al_2015.cool"
"Li_et_al_2015.h5","Example of HiC matrix in h5 format","3.14","dm3","HDF5","https://github.com/deeptools/pyGenomeTracks","Nov 12 2020","Drosophila melanogaster",7227,NA,"pyGenomeTracks ","Omar Elashkar <omar.i.elashkar@gmail.com>","String","FilePath","rGenomeTracksData/version1.0/Li_et_al_2015.h5"
"links2.links","Example of links format file","3.14","dm3","BED","https://github.com/deeptools/pyGenomeTracks","Nov 12 2020","Drosophila melanogaster",7227,NA,"pyGenomeTracks ","Omar Elashkar <omar.i.elashkar@gmail.com>","String","FilePath","rGenomeTracksData/version1.0/links2.links"
"tad_classification.bed","Example of bed TADs format file","3.14","dm3","BED","https://github.com/deeptools/pyGenomeTracks","Nov 12 2020","Drosophila melanogaster",7227,NA,"pyGenomeTracks ","Omar Elashkar <omar.i.elashkar@gmail.com>","String","FilePath","rGenomeTracksData/version1.0/tad_classification.bed"
"test.arcs","Example of arcs format file","3.14","dm3","BED","https://github.com/deeptools/pyGenomeTracks","Nov 12 2020","Drosophila melanogaster",7227,NA,"pyGenomeTracks ","Omar Elashkar <omar.i.elashkar@gmail.com>","String","FilePath","rGenomeTracksData/version1.0/test.arcs"
"test2.narrowPeak","Example of narrowPeak file","3.14","dm3","BED","https://github.com/deeptools/pyGenomeTracks","Nov 12 2020","Drosophila melanogaster",7227,NA,"pyGenomeTracks ","Omar Elashkar <omar.i.elashkar@gmail.com>","String","FilePath","rGenomeTracksData/version1.0/test2.narrowPeak"
